iter	Passed	Remaining
504	4099	4018
505	4111	4014
506	4119	4005
507	4127	3997
508	4135	3988
509	4141	3979
510	4149	3970
511	4157	3962
512	4164	3953
513	4171	3944
514	4179	3936
515	4186	3926
516	4193	3918
517	4201	3909
518	4208	3900
519	4216	3892
520	4223	3883
521	4231	3874
522	4238	3865
523	4245	3856
524	4252	3847
525	4260	3839
526	4270	3833
527	4288	3833
528	4307	3835
529	4328	3838
530	4351	3843
531	4371	3845
532	4379	3836
533	4386	3828
534	4394	3819
535	4402	3810
536	4409	3801
537	4416	3792
538	4423	3783
539	4431	3774
540	4438	3765
541	4444	3755
542	4452	3747
543	4459	3738
544	4467	3729
545	4475	3721
546	4481	3711
547	4489	3702
548	4496	3693
549	4503	3684
550	4511	3676
551	4530	3676
552	4543	3672
553	4550	3663
554	4558	3655
555	4565	3646
556	4572	3636
557	4579	3627
558	4587	3618
559	4594	3610
560	4601	3600
561	4608	3591
562	4616	3583
563	4623	3574
564	4630	3565
565	4638	3556
566	4644	3547
567	4652	3538
568	4659	3529
569	4666	3520
570	4673	3510
571	4679	3501
572	4688	3493
573	4704	3491
574	4720	3489
575	4748	3495
576	4763	3492
577	4774	3485
578	4782	3477
579	4788	3467
580	4795	3458
581	4803	3449
582	4810	3440
583	4817	3431
584	4825	3422
585	4832	3413
586	4840	3405
587	4846	3396
588	4853	3387
589	4861	3378
590	4873	3372
591	4881	3364
592	4888	3355
593	4895	3346
594	4903	3337
595	4910	3328
596	4918	3320
597	4925	3311
598	4932	3302
599	4940	3293
600	4949	3285
601	4956	3277
602	4964	3268
603	4970	3258
604	4977	3249
605	4983	3240
606	4990	3231
607	4998	3222
608	5007	3215
609	5017	3208
610	5024	3199
611	5031	3189
612	5038	3180
613	5045	3171
614	5053	3163
615	5060	3154
616	5070	3147
617	5080	3140
618	5089	3132
619	5099	3125
620	5109	3118
621	5117	3109
622	5125	3101
623	5136	3095
624	5144	3086
625	5151	3077
626	5158	3068
627	5168	3061
628	5178	3054
629	5188	3047
630	5196	3038
631	5203	3029
632	5210	3020
633	5218	3012
634	5227	3004
635	5234	2995
636	5241	2986
637	5248	2977
638	5255	2968
639	5264	2961
640	5274	2954
641	5284	2946
642	5294	2939
643	5304	2932
644	5312	2924
645	5322	2916
646	5335	2910
647	5346	2904
648	5368	2903
649	5393	2904
650	5412	2901
651	5430	2898
652	5450	2896
653	5456	2886
654	5463	2877
655	5470	2868
656	5477	2859
657	5484	2850
658	5491	2841
659	5498	2832
660	5505	2823
661	5512	2814
662	5519	2805
663	5526	2796
664	5533	2787
665	5540	2778
666	5547	2769
667	5555	2760
668	5562	2752
669	5568	2742
670	5576	2734
671	5584	2725
672	5591	2716
673	5598	2707
674	5605	2698
675	5616	2691
676	5626	2684
677	5633	2675
678	5640	2666
679	5648	2657
680	5655	2648
681	5661	2639
682	5668	2631
683	5676	2622
684	5683	2613
685	5691	2605
686	5698	2596
687	5704	2587
688	5712	2578
689	5720	2570
690	5727	2561
691	5735	2552
692	5743	2544
693	5750	2535
694	5757	2526
695	5764	2517
696	5772	2509
697	5785	2503
698	5792	2494
699	5799	2485
700	5806	2476
701	5813	2468
702	5821	2459
703	5828	2450
704	5834	2441
705	5842	2432
706	5852	2425
707	5862	2418
708	5870	2409
709	5877	2400
710	5884	2391
711	5891	2383
712	5898	2374
713	5905	2365
714	5912	2356
715	5919	2348
716	5927	2339
717	5934	2330
718	5941	2322
719	5948	2313
720	5955	2304
721	5963	2296
722	5971	2287
723	5978	2279
724	5985	2270
725	5992	2261
726	6000	2253
727	6007	2244
728	6013	2235
729	6021	2226
730	6029	2218
731	6036	2210
732	6043	2201
733	6051	2193
734	6059	2184
735	6066	2176
736	6073	2167
737	6080	2158
738	6087	2150
739	6094	2141
740	6102	2132
741	6109	2124
742	6117	2116
743	6124	2107
744	6131	2098
745	6138	2090
746	6146	2081
747	6153	2073
748	6161	2064
749	6168	2056
750	6176	2047
751	6184	2039
752	6191	2031
753	6199	2022
754	6206	2014
755	6214	2005
756	6222	1997
757	6229	1988
758	6236	1980
759	6244	1971
760	6252	1963
761	6259	1954
762	6266	1946
763	6273	1938
764	6281	1929
765	6289	1921
766	6295	1912
767	6303	1904
768	6311	1895
769	6319	1887
770	6326	1879
771	6334	1870
772	6342	1862
773	6348	1853
774	6355	1845
775	6363	1836
776	6370	1828
777	6378	1820
778	6386	1811
779	6394	1803
780	6401	1795
781	6408	1786
782	6415	1777
783	6422	1769
784	6430	1761
785	6438	1752
786	6445	1744
787	6451	1735
788	6458	1727
789	6465	1718
790	6472	1710
791	6479	1701
792	6487	1693
793	6494	1684
794	6501	1676
795	6507	1667
796	6514	1659
797	6522	1651
798	6530	1642
799	6537	1634
800	6545	1626
801	6552	1617
802	6559	1609
803	6567	1601
804	6574	1592
805	6581	1584
806	6588	1575
807	6595	1567
808	6602	1558
809	6610	1550
810	6617	1542
811	6624	1533
812	6630	1525
813	6638	1516
814	6646	1508
815	6653	1500
816	6660	1491
817	6667	1483
818	6674	1475
819	6681	1466
820	6688	1458
821	6695	1449
822	6703	1441
823	6711	1433
824	6717	1425
825	6725	1416
826	6732	1408
827	6740	1400
828	6747	1391
829	6754	1383
830	6761	1375
831	6779	1368
832	6795	1362
833	6815	1356
834	6830	1349
835	6850	1343
836	6871	1338
837	6887	1331
838	6895	1323
839	6903	1314
840	6910	1306
841	6917	1298
842	6924	1289
843	6931	1281
844	6938	1272
845	6945	1264
846	6952	1255
847	6960	1247
848	6967	1239
849	6974	1230
850	6982	1222
851	6989	1214
852	6999	1206
853	7006	1197
854	7013	1189
855	7021	1181
856	7027	1172
857	7035	1164
858	7045	1156
859	7060	1149
860	7078	1142
861	7091	1135
862	7102	1127
863	7126	1121
864	7143	1114
865	7154	1107
866	7164	1099
867	7174	1091
868	7181	1082
869	7194	1075
870	7216	1068
871	7229	1061
872	7244	1053
873	7262	1046
874	7271	1038
875	7278	1030
876	7286	1021
877	7301	1014
878	7317	1007
879	7324	998
880	7333	990
881	7340	982
882	7347	973
883	7354	965
884	7361	956
885	7368	948
886	7375	939
887	7383	931
888	7390	922
889	7397	914
890	7404	905
891	7414	897
892	7430	890
893	7449	883
894	7458	875
895	7473	867
896	7480	858
897	7488	850
898	7495	842
899	7502	833
900	7508	825
901	7515	816
902	7522	808
903	7529	799
904	7537	791
905	7543	782
906	7551	774
907	7558	765
908	7565	757
909	7574	749
910	7582	740
911	7589	732
912	7596	723
913	7604	715
914	7611	707
915	7618	698
916	7626	690
917	7632	681
918	7639	673
919	7645	664
920	7653	656
921	7661	648
922	7668	639
923	7675	631
924	7683	622
925	7690	614
926	7697	606
927	7705	597
928	7712	589
929	7719	581
930	7726	572
931	7734	564
932	7741	555
933	7748	547
934	7755	539
935	7762	530
936	7769	522
937	7776	514
938	7783	505
939	7791	497
940	7798	488
941	7804	480
942	7811	472
943	7818	463
944	7832	455
945	7841	447
946	7849	439
947	7856	430
948	7863	422
949	7870	414
950	7878	405
951	7884	397
952	7892	389
953	7899	380
954	7906	372
955	7912	364
956	7920	355
957	7926	347
958	7934	339
959	7941	330
960	7948	322
961	7955	314
962	7962	305
963	7969	297
964	7977	289
965	7984	281
966	7991	272
967	7998	264
968	8006	256
969	8014	247
970	8021	239
971	8029	231
972	8037	223
973	8044	214
974	8051	206
975	8058	198
976	8065	189
977	8072	181
978	8081	173
979	8089	165
980	8097	156
981	8104	148
982	8111	140
983	8118	132
984	8125	123
985	8133	115
986	8141	107
987	8148	98
988	8155	90
989	8162	82
990	8169	74
991	8177	65
992	8184	57
993	8192	49
994	8200	41
995	8207	32
996	8214	24
997	8222	16
998	8231	8
999	8238	0
