iter	MultiClass
0	0.9220154349
1	0.7942262055
2	0.6926992325
3	0.6164104528
4	0.5485051583
5	0.495109923
6	0.4493036281
7	0.4072338438
8	0.3728991908
9	0.3426660245
10	0.3190354574
11	0.2993109045
12	0.2802186726
13	0.2632893002
14	0.2477590421
15	0.2327482467
16	0.22075095
17	0.2110413565
18	0.2020891792
19	0.1948874451
20	0.1856451923
21	0.1793978262
22	0.1728274565
23	0.1655563687
24	0.1607657995
25	0.1547469033
26	0.1504077772
27	0.1467845088
28	0.1432851049
29	0.1389970718
30	0.1360161861
31	0.1335394857
32	0.1309356245
33	0.1277850772
34	0.1246201727
35	0.1224021225
36	0.1205039656
37	0.1185631266
38	0.1172869932
39	0.115339552
40	0.1142172795
41	0.1115800992
42	0.1097457298
43	0.1087678102
44	0.1075759456
45	0.1061580309
46	0.1049388514
47	0.1037002357
48	0.1018927169
49	0.1006284999
50	0.09982459459
51	0.09835557024
52	0.0974198267
53	0.09644784815
54	0.09588014196
55	0.09454150813
56	0.09370101301
57	0.09301092059
58	0.09259300833
59	0.09129569346
60	0.09028742087
61	0.08947885885
62	0.08895794661
63	0.0881527787
64	0.08744916564
65	0.08656311691
66	0.08547214214
67	0.08483752359
68	0.08441738259
69	0.08307348159
70	0.08232395965
71	0.08158434966
72	0.0804823384
73	0.07967796608
74	0.07867249446
75	0.0784135442
76	0.07774998173
77	0.0772398076
78	0.07629500493
79	0.07585249764
80	0.07494861001
81	0.07435600299
82	0.07378237682
83	0.07321745495
84	0.07274486178
85	0.07253984156
86	0.07204395293
87	0.07174363344
88	0.07136456092
89	0.07114220132
90	0.07022764465
91	0.06987362936
92	0.06938087554
93	0.06911650235
94	0.06887678442
95	0.06803156983
96	0.06786369704
97	0.06749785712
98	0.06680913071
99	0.06660003049
100	0.06600132588
101	0.06540676648
102	0.06503656133
103	0.0647559781
104	0.06434202487
105	0.06416736879
106	0.06346539379
107	0.06275016325
108	0.06241333642
109	0.06229189945
110	0.06188723466
111	0.06159674881
112	0.06107158705
113	0.06043459489
114	0.06028252649
115	0.05991796581
116	0.05980342532
117	0.05958104877
118	0.0587394077
119	0.05860256981
120	0.0584472487
121	0.05826168148
122	0.0577651543
123	0.05742889015
124	0.05726576681
125	0.05705399722
126	0.05660396465
127	0.05630685683
128	0.05596743696
129	0.05550511053
130	0.0554311771
131	0.05528612929
132	0.05473897924
133	0.05422293582
134	0.05409990012
135	0.05399768062
136	0.05369741974
137	0.05355832461
138	0.05343937793
139	0.05295483933
140	0.05275266962
141	0.0524789528
142	0.05227920643
143	0.05218948932
144	0.05209226742
145	0.05198841062
146	0.05187366062
147	0.05165724243
148	0.0514274364
149	0.05108379261
150	0.0509710407
151	0.05078782339
152	0.05048788728
153	0.05034590867
154	0.05023805788
155	0.0501487283
156	0.05003882132
157	0.04990944558
158	0.04977745387
159	0.04936263566
160	0.04920418546
161	0.04894863753
162	0.04871766488
163	0.04849207878
164	0.04825789666
165	0.04803743364
166	0.04761685669
167	0.04750814009
168	0.04726288086
169	0.04706994748
170	0.04697705064
171	0.0468189968
172	0.046601807
173	0.0465180259
174	0.04644492038
175	0.04629079088
176	0.04615791774
177	0.04587682866
178	0.04541618095
179	0.0452713461
180	0.04516910519
181	0.04493788417
